Name;Position;Age;ca;pa;Nationality;Club;Corners;Crossing;Dribbling;Finishing;First Touch;Free Kick Taking;Heading;Long Shots;Long Throws;Marking;Passing;Penalty Taking;Tackling;Technique;Aggressiion;Anticipation;Bravery;Composure;Concentration;Vision;Decision;Determination;Flair;Leadership;Off The Ball;Position;Teamwork;Work Rate;Acceleration;Agility;Balance;Jumping Reach;Natural Fitness;Pace;Stamina;Strength;Stability;Foul;Contest performance;Injury;diversity;Aerial Reach;Command Of Area;Communication;Eccentricity;Handling;Kicking;One On Ones;Reflexes;Rushing Out;Punching;Throwing;Adaptation;Ambition;Argue;Loyal;Resistant to stress;Professional;Sportsmanship;Emotional control;GK;DL;DC;DR;WBL;WBR;DM;ML;MC;MR;AML;AMC;AMR;ST;Height;Weight;Left Foot;Right Foot;Values;Current reputation;Domestic reputation;World reputation;Race;RCA;Colour of skin;Date of birth;Number of national team appearances;Goals scored for the national team;Salary;Rental club;UID
Kevin De Bruyne;M/AM RLC;31;189;189;Belgium;Manchester City;14;19;15;16;16;17;6;17;7;9;18;16;9;18;12;14;13;15;15;20;18;17;16;13;14;11;14;15;15;13;14;10;16;14;17;13;15;6;15;7;14;1;3;1;3;3;3;3;3;3;2;1;13;17;13;14;11;18;16;13;1;1;1;1;1;1;12;15;20;15;14;20;14;12;181;68;16;20;347975206;9450;9400;9400;Northern_European;181;4;28/06/1991;91;24;394372;;18004457
Kylian MbappÇ;AM/S RL;23;188;197;France;Paris Saint-Germain;13;13;18;17;18;12;7;13;4;4;15;18;4;17;6;17;12;18;14;15;15;15;18;13;18;3;10;10;20;16;15;8;15;20;14;11;15;7;16;7;14;2;2;2;1;1;2;1;3;2;1;2;15;20;8;14;16;16;12;13;1;1;1;1;1;1;1;10;1;10;19;1;17;20;178;73;10;20;347975206;9398;9398;9248;African_Caribbean;172;13;20/12/1998;57;27;1035616;;85139014
Robert Lewandowski;S;33;186;190;Poland;Barcelona;3;8;13;19;18;15;17;12;3;7;13;20;7;16;15;19;16;17;17;13;17;20;14;15;19;7;12;12;14;13;19;15;20;14;18;16;18;8;15;2;8;2;2;3;2;3;2;3;3;2;1;1;15;20;15;10;16;18;10;11;1;1;1;1;1;1;1;1;1;1;10;12;8;20;185;81;13;20;347975206;9300;9400;9250;Northern_European;183;3;21/08/1988;132;76;345204;;719601
Erling Haaland;S;22;185;195;Norway,England;Manchester City;7;10;14;18;16;13;15;13;5;6;13;17;7;15;13;18;15;18;15;14;13;20;16;13;18;7;13;13;17;16;17;18;19;19;14;17;17;9;17;12;10;2;4;1;3;2;2;2;2;3;3;2;16;20;12;15;18;17;10;12;1;1;1;1;1;1;1;1;1;1;1;1;1;20;195;88;20;11;347975206;9250;9250;8750;Northern_European;185;2;21/07/2000;21;20;394372;;29179241
Mohamed Salah;AM/S RL;30;185;187;Egypt;Liverpool;12;14;17;17;17;12;10;13;6;7;15;17;7;17;11;16;11;15;15;17;15;18;15;11;18;9;15;16;18;16;18;8;17;18;15;15;15;6;16;4;7;3;2;2;1;2;1;3;2;3;3;2;16;19;8;13;16;18;16;17;1;1;1;1;1;1;1;1;1;1;17;12;20;19;175;72;20;8;347975206;9400;9445;8750;North_African__Middle_Eastern;181;9;15/06/1992;85;47;405971;;98028755
Karim Benzema;S;34;185;185;France,Algeria;R. Madrid;10;13;16;17;20;12;15;12;7;7;18;15;9;20;7;14;10;18;14;18;17;18;17;11;15;12;16;14;15;14;15;11;11;15;14;14;14;4;15;8;8;3;1;2;3;3;1;2;4;1;2;2;15;14;17;12;15;15;17;18;1;1;1;1;1;1;1;1;1;1;13;12;8;20;185;82;17;20;102955257;9250;8750;8750;North_African__Middle_Eastern;183;9;19/12/1987;97;37;321918;;8435089
Harry Kane;S C;28;183;185;England,Republic of Ireland;Tottenham Hotspur;9;15;14;19;15;10;15;15;6;10;18;20;11;16;11;15;14;18;15;18;18;19;12;15;16;12;18;16;12;12;14;13;16;14;16;15;17;8;14;12;9;1;1;3;1;3;2;1;2;2;3;1;10;18;12;18;18;20;11;16;1;1;1;1;1;1;1;1;11;1;13;15;1;20;188;86;19;20;347975206;9200;9200;8750;Northern_European;183;4;28/07/1993;73;50;231983;;28049320
Thibaut Courtois;GK;30;181;181;Belgium;R. Madrid;6;1;10;2;10;9;10;1;2;3;13;5;3;12;8;15;15;12;16;9;16;16;14;13;3;16;14;11;12;13;14;18;12;11;8;14;16;5;18;5;15;20;16;14;5;16;16;18;19;12;6;15;14;14;10;15;16;15;14;14;20;1;1;1;1;1;1;1;1;1;1;1;1;1;199;96;20;9;255605643;9050;8750;8500;Northern_European;178;2;11/05/1992;94;0;296047;;18026122
Virgil van Dijk;D C;31;181;183;Holland,Suriname;Liverpool;3;5;13;8;17;12;18;7;8;17;16;7;17;16;17;17;15;17;16;14;17;16;12;17;8;17;14;12;15;12;15;17;17;16;14;17;18;12;18;5;4;3;2;1;3;3;2;3;1;3;2;3;18;18;10;12;17;16;12;18;1;1;20;1;1;1;12;1;1;1;1;1;1;10;193;92;9;20;347975206;9150;8700;8500;African_Caribbean;182;14;08/07/1991;47;5;278380;;37024025
Lionel Messi;AM/S RC;35;180;200;Argentina,Spain;Paris Saint-Germain;15;15;20;17;19;18;10;16;4;4;19;17;7;20;7;17;10;16;11;20;18;20;20;14;13;5;12;7;15;15;18;6;14;15;12;9;16;9;18;6;12;2;2;3;2;2;2;2;1;3;1;3;17;18;5;17;19;17;15;14;1;1;1;1;1;1;1;8;12;8;11;19;20;19;169;67;20;12;43973205;9374;9359;9267;Mediterranean_Hispanic;172;3;24/06/1987;162;86;776712;;7458500
