Name,global_score
Dion Drena Beljo,1.4027351654360305
Rauf Salifu,1.3999968496582216
Maximiliano Silvera,1.3828859678139
Germ n Berterame,1.3820237213556248
Thiago Borbas,1.380505850859696
Pedro Raul,1.3755419374139721
Ra£l Garc¡a1,1.37342731780311
Artem Dovbyk,1.3733074895381323
Samson Akinyoola,1.37238287793953
Aziz Yakubu,1.3720928683743936
Federico Girotti,1.3673461067198
Hctor,1.366065981942889
Thijs Dallinga,1.358960714709605
Fran Navarro,1.3559992464247388
Schettine,1.354992418360979
Borja Mayoral,1.3548454079545191
Lorenzo Lucca,1.3545165253403209
Salom¢n Rodr¡guez,1.3537943186444337
Lucas Hler,1.3509561220079789
Luis V zquez,1.347022552600959
Simon Banza,1.3462394122325845
Franco Fr¡as,1.3435797898732038
Bamba Dieng,1.3433211583875748
Francisco Fydriszewski,1.3423799431049366
Adri n Butzke,1.3418422532821832
Samuele Mulattieri,1.340690010330639
Filip Stojilkovi?,1.340629724142054
Ignacio Ram¡rez,1.3402950631138602
Luca Pfeiffer,1.3388049600990928
Florian Ay,1.3383962084076966
Luciano Gondou,1.3381099652753479
Bryan Angulo,1.3366722490901457
Christoffer Nyman,1.3365826394526878
Lincoln1,1.3353180443597776
Emmanuel Boateng,1.334785268027949
Ernesto Torregrossa,1.3333850530019367
Miguel De la Fuente,1.332724027170236
Landry Dimata,1.3320054907964727
Flavio Junior Bianchi,1.331666634005226
Fernando Aristeguieta,1.3312894734654956
Makhtar Guye,1.3308466609946576
Mario Gonz lez,1.3299376702185985
Gilbert µlvarez,1.327830697700868
Roberto de la Rosa,1.3268128972885171
Enes nal,1.3261210975046076
Bruno Miranda,1.3252364780905892
Juan Manuel Cruz,1.3244326623084057
Preslav Borukov,1.3242523335870429
Aune Heggeb,1.3233352769515212
Boli,1.3229312230105683
Mariusz St?pi?ski,1.3227665251216059
Luis Su rez,1.3226016247608716
Adam Bareiro,1.321410362709675
Nils Petersen,1.3211183513846119
Ayase Ueda,1.3209847913385944
Jeison Medina,1.3208172667550278
Francesco Forte,1.318571478644667
Mikael Ishak,1.318379254108926
Ahmed Hassan,1.3180055065147909
Uro? ?ur?evi?,1.3175101675356944
Phillip Tietz,1.3168374038601742
Milton Gimnez,1.315782745726309
Ryan Mmaee,1.3150400868736005
Danilo Pereira1,1.3139048844674437
Walter Gonz lez,1.3138929216606594
Jan Hurtado,1.3134003241793817
Evidence Makgopa,1.3133193694154768
Jon Bautista,1.3133108436493912
Jhonatan Agudelo,1.3118403483546799
Julio Tavares,1.3118100647250608
Facundo Barcelo,1.3117558982771094
Mauro Quiroga,1.3116408697275104
Philipp Hofmann,1.3113296134139374
Luca Mart¡nez Dupuy,1.3112443352011596
Gabriele Gori,1.3090914274434842
Stefano Moreo,1.3084281899583567
Djorkaeff Reasco,1.3082930989218808
Carlos Garcs,1.307383205705837
Marin Ljubi?i?,1.3072322937080068
M'Bala Nzola,1.3071370427471192
Hugo Cuypers,1.306740482550917
Felipe Avenatti,1.3058453757523796
Borja Bast¢n,1.3058136826357787
Lebo Mothiba,1.3056587736941259
Mathias Kvistgaarden,1.3045103265560845
Josh Maja,1.3037440859972822
Bruno Sep£lveda,1.303236856525873
Cedric Itten,1.3030367816014023
Alexander Jeremejeff,1.3016860155229333
Nikola ?tuli?,1.3014991106756253
Patrick Cutrone,1.3009786982811917
µlex Fors,1.3009158560432414
Edoardo Vergani,1.299542585626925
Dani G¢mez,1.298605475974886
Roberto Fern ndez1,1.2985067780509285
Janni Serra,1.2972463844514046
Juan Carlos Arana,1.2972404325016331
Roberto Piccoli,1.2970601183029467
Habib Diallo,1.2956895222170703
Tonislav Yordanov,1.2949299617759076
Giorgi Kvilitaia,1.294884137810867
Michael Krmen?¡k,1.2941234822636714
Enzo Crivelli,1.2931994926905446
Gustavo,1.2930477933697277
Juan Miguel Latasa,1.2922311958388741
Juan Dinenno,1.2921222569274333
Mat?j Pulkrab,1.2918850858310589
Juan Manuel Garc¡a,1.2918376627531263
Jhon Jairo Cifuente,1.2908158913365528
Riad Bajic,1.2906893504310144
Beto,1.289189610060307
Javier Correa,1.2882957193244917
Ramiro Enrique,1.2880055235818522
Amine Salama,1.2874787723672547
Marcos Andr,1.2868134021337836
Mat¡as C¢ccaro,1.2866557966475365
Jorge Pereyra D¡az,1.2863671524326943
Abel Ruiz,1.286314802121244
Mostafa Mohamed,1.2855785409959408
Mikael,1.2845693001484348
Mohammed Bouldini,1.284323469242838
Steve Mouni,1.2835906873410674
Markitos,1.2818560326118655
Federico Vi¤as,1.2814792080621267
Moussa Kon,1.2808951758687361
Lucas JoÆo,1.2805726773924508
Oscar Aga,1.2796525257135942
Artem Besedin,1.279447058487309
Eduardo Aguirre,1.2793025114971188
Demba Seck,1.278756734461028
Evann Guessand,1.2785046450036743
Uro? Milovanovi?,1.278320442307356
Douglas Tanque,1.2775822879193497
Rhys Healey,1.2762936727279883
Augusto Lotti,1.2745647668498041
